Name,Designer,Cost,Formats,Sizes,Categories,Difficulty,"Ydg, 45""","Ydg, 54""+",Notions,Fabrics,Image
Pogonip Pullover,Friday Pattern Co.,$16.00,PDF,"-1, 7","Top, Outerwear",,"1.6, 3.3","1.4, 2.8","1, 0.75, 3, .8","Woven, Knit",pogonip
Bernadette Skirt,Friday Pattern Co.,$16.00,"PDF, Print","-1, 7","Bottom, Skirt",,"1.2, 2.4","1.2, 2.4","1, 0, 3, 0, 4, 0, 5, 0",Woven,bernadette
Donny Shirt,Friday Pattern Co.,$16.00,"PDF, Print","-1, 7","Top, Shirt",,"1.4, 2.2","1.2, 1.9","1, .5",Woven,donnyshirt
Bateau Top,Friday Pattern Co.,$0.00,PDF,"-1, 7","Top, Shirt",,"1,2.3","0.8, 1.6",,Knit,bateautop
Bernie Belt Bag,Friday Pattern Co.,$6.00,PDF,"-1, 7","Bag, Accessory",,0.3,0.3,,Woven,berniebeltbag
Avenir Jumpsuit,Friday Pattern Co.,$16.00,"PDF, Print","-1, 7",Jumpsuit,,"3.3, 6.3","2.4, 4.7","Elastic, 3",Woven,avenirsuit
Saturday Skirt,Friday Pattern Co.,$20.00,"PDF, Print","-1, 7","Top, Bottom, Skirt, Shirt",,,"3.9, 5.7","Elastic, 1.1, Interfacing, 0.125","Woven, rayon, silk, linen, cotton",saturdayskirt
Elysian Bodysuit,Friday Pattern Co.,,,,,,,,,,
Saguaruo Set,Friday Pattern Co.,,,,,,,,,,
Patina Blouse,Friday Pattern Co.,,,,,,,,,,
Heather Blazer,Friday Pattern Co.,,,,,,,,,,
Ilford Jacket,Friday Pattern Co.,,,,,,,,,,
Wilder Gown,Friday Pattern Co.,,,,,,,,,,
Saltware Slip Dress,Friday Pattern Co.,,,,,,,,,,
Davenport Dress,Friday Pattern Co.,,,,,,,,,,
Sport Shorts,Friday Pattern Co.,,,,,,,,,,
Heather Chandler Suit,Friday Pattern Co.,,,,,,,,,,
Hughes Dress,Friday Pattern Co.,,,,,,,,,,
Arlo Track Jacket,Friday Pattern Co.,,,,,,,,,,
Square Neck Top,Friday Pattern Co.,,,,,,,,,,
Sagebrush Top,Friday Pattern Co.,,,,,,,,,,
Adrienne Blouse,Friday Pattern Co.,,,,,,,,,,
Westcliff Dress,Friday Pattern Co.,,,,,,,,,,
Cambria Duster,Friday Pattern Co.,,,,,,,,,,
Seabright Swimmer,Friday Pattern Co.,,,,,,,,,,
Vernazza Two Piece,Friday Pattern Co.,,,,,,,,,,